t,species,metamer,organ,Eabs,plant
0,Caphorn,1,blade,0.0,1
0,Caphorn,1,sheath,0.0,1
0,Caphorn,2,blade,0.0,1
0,Caphorn,2,sheath,0.0,1
0,Caphorn,3,blade,0.0,1
0,Caphorn,3,sheath,0.0,1
0,Caphorn,4,blade,0.0,1
0,Caphorn,4,internode,0.0,1
0,Caphorn,4,sheath,0.0,1
0,Caphorn,5,internode,0.0,1
0,Caphorn,6,internode,0.0,1
0,Soissons,1,blade,0.0,2
0,Soissons,1,sheath,0.0,2
0,Soissons,2,blade,0.0,2
0,Soissons,2,sheath,0.0,2
0,Soissons,3,blade,0.0,2
0,Soissons,3,sheath,0.0,2
0,Soissons,4,blade,0.0,2
0,Soissons,4,internode,0.0,2
0,Soissons,4,sheath,0.0,2
0,Soissons,5,internode,0.0,2
0,Soissons,6,internode,0.0,2
1,Caphorn,1,blade,0.0,1
1,Caphorn,1,sheath,0.0,1
1,Caphorn,2,blade,0.0,1
1,Caphorn,2,sheath,0.0,1
1,Caphorn,3,blade,0.0,1
1,Caphorn,3,sheath,0.0,1
1,Caphorn,4,blade,0.0,1
1,Caphorn,4,internode,0.0,1
1,Caphorn,4,sheath,0.0,1
1,Caphorn,5,internode,0.0,1
1,Caphorn,6,internode,0.0,1
1,Soissons,1,blade,0.0,2
1,Soissons,1,sheath,0.0,2
1,Soissons,2,blade,0.0,2
1,Soissons,2,sheath,0.0,2
1,Soissons,3,blade,0.0,2
1,Soissons,3,sheath,0.0,2
1,Soissons,4,blade,0.0,2
1,Soissons,4,internode,0.0,2
1,Soissons,4,sheath,0.0,2
1,Soissons,5,internode,0.0,2
1,Soissons,6,internode,0.0,2
2,Caphorn,1,blade,0.0,1
2,Caphorn,1,sheath,0.0,1
2,Caphorn,2,blade,0.0,1
2,Caphorn,2,sheath,0.0,1
2,Caphorn,3,blade,0.0,1
2,Caphorn,3,sheath,0.0,1
2,Caphorn,4,blade,0.0,1
2,Caphorn,4,internode,0.0,1
2,Caphorn,4,sheath,0.0,1
2,Caphorn,5,internode,0.0,1
2,Caphorn,6,internode,0.0,1
2,Soissons,1,blade,0.0,2
2,Soissons,1,sheath,0.0,2
2,Soissons,2,blade,0.0,2
2,Soissons,2,sheath,0.0,2
2,Soissons,3,blade,0.0,2
2,Soissons,3,sheath,0.0,2
2,Soissons,4,blade,0.0,2
2,Soissons,4,internode,0.0,2
2,Soissons,4,sheath,0.0,2
2,Soissons,5,internode,0.0,2
2,Soissons,6,internode,0.0,2
3,Caphorn,1,blade,0.0,1
3,Caphorn,1,sheath,0.0,1
3,Caphorn,2,blade,0.0,1
3,Caphorn,2,sheath,0.0,1
3,Caphorn,3,blade,0.0,1
3,Caphorn,3,sheath,0.0,1
3,Caphorn,4,blade,0.0,1
3,Caphorn,4,internode,0.0,1
3,Caphorn,4,sheath,0.0,1
3,Caphorn,5,internode,0.0,1
3,Caphorn,6,internode,0.0,1
3,Soissons,1,blade,0.0,2
3,Soissons,1,sheath,0.0,2
3,Soissons,2,blade,0.0,2
3,Soissons,2,sheath,0.0,2
3,Soissons,3,blade,0.0,2
3,Soissons,3,sheath,0.0,2
3,Soissons,4,blade,0.0,2
3,Soissons,4,internode,0.0,2
3,Soissons,4,sheath,0.0,2
3,Soissons,5,internode,0.0,2
3,Soissons,6,internode,0.0,2
4,Caphorn,1,blade,0.0,1
4,Caphorn,1,sheath,0.0,1
4,Caphorn,2,blade,0.0,1
4,Caphorn,2,sheath,0.0,1
